time,position,rssi,latency_ms
2025-07-01 15:07:57,"5.0,20.0",-100,0.023
2025-07-01 15:08:00,"15.0,20.0",-36,0.028
2025-07-01 15:08:03,"25.0,20.0",-36,0.015
2025-07-01 15:08:06,"35.0,20.0",-36,0.041
