time,position,rssi,latency_ms
2025-07-01 15:01:04,"20.0,20.0",-100,9999
2025-07-01 15:01:07,"25.0,25.0",-100,9999
2025-07-01 15:01:10,"15.0,25.0",-100,9999
2025-07-01 15:01:13,"15.0,15.0",-100,9999
2025-07-01 15:01:16,"25.0,15.0",-100,9999
2025-07-01 15:01:19,"20.0,20.0",-100,9999
