timestamp,type,value
2025-07-02T17:44:19.287034,network_start,"{'total_aps': 3, 'total_stations': 2, 'ssid': 'meshNet'}"
2025-07-02T17:46:36.483406,network_end,"{'total_handover_events': 0, 'total_errors': 0}"
