time,position,rssi,latency_ms,ap_conectado
2025-07-01 16:16:30,"5.0,20.0",-36,2.20,ap1
2025-07-01 16:16:33,"15.0,20.0",-36,1.19,ap1
2025-07-01 16:16:36,"25.0,20.0",-36,1.52,ap1
2025-07-01 16:16:39,"35.0,20.0",-36,1.99,ap1
2025-07-01 16:16:42,"25.0,20.0",-36,1.50,ap1
2025-07-01 16:16:45,"15.0,20.0",-36,1.18,ap1
