time,position,rssi,latency_ms,ap_conectado,aps_visiveis
2025-07-01 17:31:29,"15.0,15.0",-100,9999,desconectado,nenhum_ap_detectado
2025-07-01 17:31:31,"12.0,15.0",-100,9999,desconectado,nenhum_ap_detectado
2025-07-01 17:31:33,"18.0,15.0",-100,9999,desconectado,nenhum_ap_detectado
2025-07-01 17:31:35,"15.0,18.0",-100,9999,desconectado,nenhum_ap_detectado
2025-07-01 17:31:37,"15.0,12.0",-100,9999,desconectado,nenhum_ap_detectado
2025-07-01 17:31:39,"15.0,15.0",-100,9999,desconectado,nenhum_ap_detectado
